ensemble	scenario	struct	rank	stage	acc_sr	med_sr	high_sr
IBMoMu	loose	u	200	flex	0.7	0.25	0.025
IBMoMu	loose	u	1	emref	0.175	0.05	0.0
IBMoMu	loose	u	10	emref	0.4	0.125	0.0
IBMoMu	loose	u	200	emref	0.7	0.25	0.025
IBMu	real	b	1	rigid	0.625	0.275	0.2
IBMu	real	b	10	rigid	0.9	0.475	0.25
IBMu	real	b	200	rigid	1.0	0.8	0.375
IBMu	real	b	1	flex	0.65	0.475	0.25
IBMu	real	b	10	flex	0.875	0.725	0.375
IBMu	real	b	200	flex	1.0	1.0	0.425
IBMu	real	b	1	emref	0.75	0.5	0.15
IBMu	real	b	10	emref	0.925	0.75	0.325
IBMu	real	b	200	emref	1.0	0.975	0.45
IBMu	mix-twohit	b	1	rigid	0.25	0.15	0.1
IBMu	mix-twohit	b	10	rigid	0.475	0.275	0.15
IBMu	mix-twohit	b	200	rigid	0.75	0.425	0.25
IBMu	mix-twohit	b	1	flex	0.25	0.2	0.125
IBMu	mix-twohit	b	10	flex	0.475	0.3	0.175
IBMu	mix-twohit	b	200	flex	0.7	0.45	0.225
IBMu	mix-twohit	b	1	emref	0.25	0.15	0.1
IBMu	mix-twohit	b	10	emref	0.425	0.275	0.175
IBMu	mix-twohit	b	200	emref	0.725	0.45	0.225
IBMoMu	twohit	b	1	rigid	0.275	0.15	0.1
IBMoMu	twohit	b	10	rigid	0.475	0.175	0.1
IBMoMu	twohit	b	200	rigid	0.7	0.375	0.175
IBMoMu	twohit	b	1	flex	0.225	0.125	0.05
IBMoMu	twohit	b	10	flex	0.45	0.275	0.125
IBMoMu	twohit	b	200	flex	0.7	0.425	0.15
IBMoMu	twohit	b	1	emref	0.225	0.175	0.1
IBMoMu	twohit	b	10	emref	0.4	0.275	0.1
IBMoMu	twohit	b	200	emref	0.7	0.425	0.125
IBMu	loose	b	1	rigid	0.175	0.125	0.075
IBMu	loose	b	10	rigid	0.45	0.225	0.125
IBMu	loose	b	200	rigid	0.825	0.45	0.275
IBMu	loose	b	1	flex	0.3	0.2	0.125
IBMu	loose	b	10	flex	0.5	0.35	0.175
IBMu	loose	b	200	flex	0.825	0.55	0.2
IBMu	loose	b	1	emref	0.225	0.15	0.05
IBMu	loose	b	10	emref	0.55	0.3	0.15
IBMu	loose	b	200	emref	0.825	0.55	0.175
IB	twohit	u	1	rigid	0.1	0.0	0.0
IB	twohit	u	10	rigid	0.3	0.025	0.0
IB	twohit	u	200	rigid	0.6	0.1	0.0
IB	twohit	u	1	flex	0.15	0.0	0.0
IB	twohit	u	10	flex	0.4	0.05	0.0
IB	twohit	u	200	flex	0.625	0.15	0.0
IB	twohit	u	1	emref	0.05	0.025	0.0
IB	twohit	u	10	emref	0.275	0.05	0.0
IB	twohit	u	200	emref	0.65	0.15	0.0
IBMu	loose	u	1	rigid	0.175	0.075	0.0
IBMu	loose	u	10	rigid	0.35	0.125	0.0
IBMu	loose	u	200	rigid	0.775	0.275	0.0
