ensemble	scenario	paratope_represented	dockq
ib_monom_multim	two-hit	77.77777777777779	0.054
ib	two-hit	88.88888888888889	0.863
ib_monom	two-hit	88.88888888888889	0.828
ib_multim	two-hit	88.88888888888889	0.484
ib_monom_multim	two-hit	88.88888888888889	0.5
ib	two-hit	63.1578947368421	0.118
ib_monom	two-hit	63.1578947368421	0.073
ib_multim	two-hit	63.1578947368421	0.704
ib_monom_multim	two-hit	63.1578947368421	0.704
ib	two-hit	50.0	0.066
ib_monom	two-hit	50.0	0.071
ib_multim	two-hit	50.0	0.062
ib_monom_multim	two-hit	50.0	0.062
ib	two-hit	84.61538461538461	0.279
ib_monom	two-hit	84.61538461538461	0.101
ib_multim	two-hit	84.61538461538461	0.062
ib_monom_multim	two-hit	84.61538461538461	0.059
ib	two-hit	77.77777777777779	0.711
ib_monom	two-hit	77.77777777777779	0.685
ib_multim	two-hit	77.77777777777779	0.685
ib_monom_multim	two-hit	77.77777777777779	0.685
ib	two-hit	82.35294117647058	0.315
ib_monom	two-hit	82.35294117647058	0.678
ib_multim	two-hit	82.35294117647058	0.552
ib_monom_multim	two-hit	82.35294117647058	0.747
ib	two-hit	100.0	0.132
ib_monom	two-hit	100.0	0.13
ib_multim	two-hit	100.0	0.132
ib_monom_multim	two-hit	100.0	0.131
