scenario	antigen	bin	freq	min	max	median	n
Loose	unbound	-0.25	0.002325581395348837	-0.34099999999999997	0.472	0.06350000000000001	860
Loose	bound	-0.2	0.011684518013631937	-0.327	0.49999999999999994	0.040000000000000036	1027
Loose	unbound	-0.2	0.002325581395348837	-0.34099999999999997	0.472	0.06350000000000001	860
Loose	bound	-0.15	0.024342745861733205	-0.327	0.49999999999999994	0.040000000000000036	1027
Loose	unbound	-0.15	0.010465116279069767	-0.34099999999999997	0.472	0.06350000000000001	860
Loose	bound	-0.1	0.0730282375851996	-0.327	0.49999999999999994	0.040000000000000036	1027
Loose	unbound	-0.1	0.03604651162790698	-0.34099999999999997	0.472	0.06350000000000001	860
Loose	bound	-0.05	0.22005842259006816	-0.327	0.49999999999999994	0.040000000000000036	1027
Loose	unbound	-0.05	0.15232558139534882	-0.34099999999999997	0.472	0.06350000000000001	860
Loose	bound	0.0	0.22297955209347614	-0.327	0.49999999999999994	0.040000000000000036	1027
Loose	unbound	0.0	0.2313953488372093	-0.34099999999999997	0.472	0.06350000000000001	860
Loose	bound	0.05	0.2385589094449854	-0.327	0.49999999999999994	0.040000000000000036	1027
Loose	unbound	0.05	0.25813953488372093	-0.34099999999999997	0.472	0.06350000000000001	860
Loose	bound	0.1	0.11295034079844206	-0.327	0.49999999999999994	0.040000000000000036	1027
Loose	unbound	0.1	0.12093023255813953	-0.34099999999999997	0.472	0.06350000000000001	860
Loose	bound	0.15	0.05063291139240506	-0.327	0.49999999999999994	0.040000000000000036	1027
Loose	unbound	0.15	0.09883720930232558	-0.34099999999999997	0.472	0.06350000000000001	860
Loose	bound	0.2	0.021421616358325218	-0.327	0.49999999999999994	0.040000000000000036	1027
Loose	unbound	0.2	0.05	-0.34099999999999997	0.472	0.06350000000000001	860
Loose	bound	0.25	0.006815968841285297	-0.327	0.49999999999999994	0.040000000000000036	1027
Loose	unbound	0.25	0.02441860465116279	-0.34099999999999997	0.472	0.06350000000000001	860
Loose	bound	0.3	0.0029211295034079843	-0.327	0.49999999999999994	0.040000000000000036	1027
Loose	unbound	0.3	0.0069767441860465115	-0.34099999999999997	0.472	0.06350000000000001	860
